movie_id,movie_cd,title,release_date,poster_image_url,kinolights_url,priority_reason
1295,TMDB-3175,배리 린든,1975-12-18,https://image.tmdb.org/t/p/w500/A0byHUHMwZ7dtBQtfZ44QIgDbjo.jpg,,TAGGED
1677,TMDB-503314,드래곤볼 슈퍼: 브로리,2018-12-14,https://image.tmdb.org/t/p/w500/mPnI58Q9lRfhFi1AyjOIL7Ke0cU.jpg,,TAGGED
1087,TMDB-19,메트로폴리스,1927-01-10,https://image.tmdb.org/t/p/w500/vODOVn29fr0nLF9MVfpfKDcxuXF.jpg,,TAGGED
1271,TMDB-1580,로프,1948-02-01,https://image.tmdb.org/t/p/w500/9ar6rxLDB8kagAnXZKn6h9smscr.jpg,,TAGGED
958,20189123,곰돌이 푸 다시 만나 행복해,2018-08-01,https://image.tmdb.org/t/p/w500/aRgqTDrxZtq1YkZx5OUlZiqL3AX.jpg,,TAGGED
1174,TMDB-521,다이얼 M을 돌려라,1954-05-29,https://image.tmdb.org/t/p/w500/2gDCAgl2iBQNuJuk6p2xtuS1ewg.jpg,,TAGGED
1311,TMDB-5925,대탈주,1963-07-03,https://image.tmdb.org/t/p/w500/nAFedh3lZjzoKOl1t2DhIiykz2Z.jpg,,TAGGED
1145,TMDB-284,아파트 열쇠를 빌려드립니다,1960-06-21,https://image.tmdb.org/t/p/w500/TIwJe8jQ4uhExbxesjxQzNxqY3.jpg,,TAGGED
980,20202684,언힌지드,2020-07-16,https://image.tmdb.org/t/p/w500/4KEcf0Vwyk7Y1YcUtrZ3maYRn4H.jpg,,TAGGED
1479,TMDB-110420,늑대아이,2012-07-21,https://image.tmdb.org/t/p/w500/2mF1IKMeB9JGstJqismy5AoamrV.jpg,,TAGGED
1247,TMDB-901,시티 라이트,1931-02-06,https://image.tmdb.org/t/p/w500/7oI6KKZDxEuxhIm5m9VpOF2Yi9N.jpg,,TAGGED
1275,TMDB-1646,프리 라이터스 다이어리,2007-01-05,https://image.tmdb.org/t/p/w500/81AdeUQT99N0xPg3j6RVh0YGOTk.jpg,,TAGGED
1122,TMDB-147,400번의 구타,1959-06-03,https://image.tmdb.org/t/p/w500/dhr6UkJugFMTvr1p51l0iHlo9lf.jpg,,TAGGED
1428,TMDB-37797,귀를 기울이면,1995-07-15,https://image.tmdb.org/t/p/w500/kssrs4tPYXmfciITAQGLfh9lyJX.jpg,,TAGGED
1167,TMDB-439,달콤한 인생,1960-02-05,https://image.tmdb.org/t/p/w500/skFeWHHBwbQNfXep9OEdrQPJKoS.jpg,,TAGGED
1493,TMDB-149871,가구야공주 이야기,2013-11-23,https://image.tmdb.org/t/p/w500/zcm38w01bnAdRVptcOCuEuRoc3B.jpg,,TAGGED
1514,TMDB-242828,추억의 마니,2014-07-19,https://image.tmdb.org/t/p/w500/wwGfpFhMqFSiQAWdPX80X1uOf3s.jpg,,TAGGED
1302,TMDB-4550,친절한 금자씨,2005-07-29,https://image.tmdb.org/t/p/w500/iInNT2yeNA8joH1RSSebUEfLC1x.jpg,,TAGGED
